Player,G,PTS,TRB,AST
Lester Conner,687,6.3,2.7,3.9
Chuck Connors,53,4.5,-,0.8
Will Conroy,16,0.4,0.7,1.0
Anthony Cook,116,3.6,3.7,0.3
Bert Cook,37,3.2,1.9,0.9
Bobby Cook,51,11.5,-,3.1
Brian Cook,421,5.5,2.6,0.6
Daequan Cook,328,6.4,2.1,0.7
Darwin Cook,612,9.5,2.1,3.7
Jeff Cook,518,5.3,4.5,1.4
Norm Cook,27,2.4,1.1,0.2
Omar Cook,22,1.7,0.6,2.1
Quinn Cook,188,6.4,1.7,1.6
Tyler Cook,65,3.8,2.5,0.3
Charles Cooke,13,0.5,0.2,0.1
David Cooke,6,1.5,1.7,0.2
Joe Cooke,73,4.3,1.6,1.3
Xavier Cooks,10,3.8,3.8,0.6
Jack Cooley,23,2.9,2.4,0.3
Chuck Cooper,409,6.7,5.9,1.8
Duane Cooper,88,2.3,0.7,2.0
Joe Cooper,24,4.5,4.0,0.8
Michael Cooper,873,8.9,3.2,4.2
Sharife Cooper,13,0.5,0.4,0.4
Wayne Cooper,984,7.9,6.2,0.9
Tom Copa,33,1.5,1.1,0.1
Chris Copeland,171,5.8,1.6,0.6
Hollis Copeland,93,5.0,1.7,1.0
Lanard Copeland,33,2.7,0.5,0.4
Tyrone Corbin,1065,9.2,4.7,1.8
Chris Corchiani,112,3.7,1.2,2.2
Ken Corley,3,0.0,-,0.0
Ray Corley,102,4.3,2.0,1.7
Petr Cornelie,13,1.1,1.1,0.2
Dave Corzine,891,8.5,5.9,1.7
Larry Costello,706,12.2,3.8,4.6
Matt Costello,4,1.0,2.3,0.5
Bryce Cotton,23,3.8,0.8,0.8
Jack Cotton,54,5.1,-,1.2
James Cotton,19,2.6,0.8,0.0
John Coughran,24,2.8,0.8,0.5
Bilal Coulibaly,79,9.4,4.4,1.9
Ricky Council IV,46,4.8,1.4,0.6
Mel Counts,789,8.3,6.0,1.4
Steve Courtin,24,4.2,0.9,0.9
Joe Courtney,96,2.8,1.5,0.3
Marcus Cousin,4,1.0,0.8,0.0
DeMarcus Cousins,654,19.6,10.2,3.0
Bob Cousy,924,18.4,5.2,7.5
Robert Covington,614,10.8,5.5,1.4
Dave Cowens,766,17.6,13.6,3.8
Chubby Cox,7,4.1,1.4,0.9
Johnny Cox,73,7.8,3.8,1.9
Wesley Cox,74,4.6,2.8,0.3
Allen Crabbe,381,9.1,2.8,1.1
Torrey Craig,437,6.0,4.0,1.1
Chris Crawford,252,6.6,2.2,0.6
Freddie Crawford,297,6.8,2.5,2.1
Jamal Crawford,1327,14.6,2.2,3.4
Joe Crawford,2,4.5,2.0,0.5
Jordan Crawford,281,12.2,2.5,3.1
Mitch Creek,5,4.2,2.4,1.2
Jim Creighton,32,1.0,1.4,0.1
Ron Crevier,3,0.0,0.3,0.0
Hal Crisler,4,1.5,-,0.0
Joe Crispin,21,3.8,0.5,1.2
Charlie Criss,418,8.5,1.4,3.2
Russ Critchfield,47,3.4,0.6,1.1
Winston Crite,31,2.8,2.1,0.5
Javaris Crittenton,113,5.3,2.4,1.8
Dillard Crocker,154,8.8,2.2,1.3
Bobby Croft,62,5.2,3.3,0.7
Geoff Crompton,82,1.2,1.7,0.3
Terry Crosby,4,1.5,0.3,1.8
Austin Croshere,659,6.8,4.0,1.0
Jeff Cross,21,1.2,1.4,0.0
Pete Cross,182,5.8,8.3,1.0
Russell Cross,45,3.7,1.8,0.5
Chink Crossin,147,4.7,-,1.5
John Crotty,477,4.0,1.1,2.1
Bill Crow,1,3.0,2.0,0.0
Mark Crow,15,5.6,1.8,0.5
Corey Crowder,58,2.1,0.8,0.3
Jae Crowder,804,9.3,4.2,1.6
Jalen Crutcher,1,0.0,0.0,0.0
Al Cueto,149,5.3,4.9,1.0
Cui Yongxi,3,0.3,0.0,0.0
Jarrett Culver,144,6.5,2.8,1.2
Jarron Cumberland,3,0.7,1.0,0.3
Pat Cummings,683,9.6,5.6,1.2
Terry Cummings,1183,16.4,7.3,1.9
Vonteego Cummings,199,6.9,1.9,2.7
Billy Cunningham,770,21.2,10.4,4.3
Cade Cunningham,155,20.4,5.3,6.7
Dante Cunningham,715,5.8,3.7,0.7
Dick Cunningham,358,2.8,3.7,0.6
Jared Cunningham,84,2.3,0.7,0.5
William Cunningham,23,0.6,1.7,0.1
Radisav Ćurčić,20,2.9,2.5,0.6
Armand Cure,12,0.8,-,0.0
Earl Cureton,674,5.4,4.7,1.0
Bill Curley,147,2.7,2.0,0.4
Fran Curran,123,4.9,-,1.2
Dell Curry,1083,11.7,2.4,1.8
Eddy Curry,527,12.9,5.2,0.5
JamesOn Curry,1,0.0,0.0,0.0
Michael Curry,667,4.5,1.6,1.2
Seth Curry,499,10.2,2.1,2.0
Stephen Curry,970,24.7,4.7,6.4
Rastko Cvetković,14,0.7,0.8,0.2
