Player,G,PTS,TRB,AST
Jim McElroy,418,9.9,2.0,3.5
Pat McFarland,148,6.4,2.0,1.5
Ivan McFarlin,11,1.4,1.0,0.1
Mel McGaha,51,3.5,-,1.0
Mitch McGary,52,4.4,3.5,0.3
JaVale McGee,909,7.6,5.0,0.4
Mike McGee,520,9.6,2.1,1.2
Billy McGill,295,10.5,4.4,1.1
George McGinnis,842,20.2,11.0,3.7
Jon McGlocklin,792,11.6,2.4,2.9
Bryce McGowens,105,5.2,1.9,1.0
Tracy McGrady,938,19.6,5.6,4.4
Gil McGregor,42,4.1,3.5,0.4
Cameron McGriff,3,4.7,5.0,1.0
Elton McGriff,56,6.0,4.6,0.2
Rodney McGruder,317,5.8,2.8,1.2
Al McGuire,191,4.0,2.2,1.9
Allie McGuire,2,2.0,1.0,0.5
Dick McGuire,738,8.0,4.2,5.7
Dominic McGuire,342,2.7,3.4,1.2
Kevin McHale,971,17.9,7.3,1.7
Maurice McHartley,189,12.4,3.2,3.4
Jim McIlvaine,401,2.7,3.1,0.3
Jeff McInnis,576,9.4,2.0,4.4
Kenny McIntosh,177,5.3,3.9,1.0
Bob McIntyre,28,7.1,4.3,0.6
Jerry McKee,1,0.0,0.0,0.0
Kevin McKenna,243,5.4,1.3,1.4
Forrest McKenzie,6,2.8,1.2,0.2
Stan McKenzie,396,9.0,2.8,1.5
Derrick McKey,937,11.0,4.7,2.4
Aaron McKie,793,7.4,3.3,2.7
Billy McKinney,476,8.0,1.4,3.5
Bones McKinney,318,9.4,3.5,1.6
Carlton McKinney,9,2.4,1.4,0.8
Trey McKinney-Jones,1,0.0,0.0,0.0
Alfonzo McKinnie,182,4.0,2.5,0.3
JaQuori McLaughlin,4,0.0,0.0,0.5
Jordan McLaughlin,258,4.3,1.6,3.0
Ben McLemore,556,9.0,2.3,1.0
McCoy McLemore,580,8.8,5.5,1.3
George McLeod,10,1.2,2.1,0.4
Keith McLeod,200,5.5,1.3,2.7
Roshown McLeod,113,7.2,2.7,1.1
Jack McMahon,524,8.1,2.7,3.7
Nate McMillan,796,5.9,4.0,6.1
Tom McMillen,729,8.1,4.0,1.1
Jim McMillian,631,13.8,5.3,2.5
Shellie McMillon,263,9.1,6.0,0.9
Mal McMullen,109,4.8,2.5,1.1
Chet McNabb,2,0.0,-,0.0
Mark McNamara,278,3.5,3.0,0.3
Joe McNamee,118,2.4,2.0,0.5
Jerel McNeal,6,1.5,0.5,0.3
Chris McNealy,108,4.3,4.6,1.0
Bob McNeill,125,4.6,1.4,2.6
Larry McNeill,297,8.5,4.8,0.8
Carl McNulty,1,2.0,0.0,0.0
Paul McPherson,55,4.8,1.4,0.7
Roy McPipe,5,4.2,1.0,0.2
Cozell McQueen,3,2.0,2.7,0.0
Jordan McRae,123,6.9,1.8,1.4
Thales McReynolds,5,0.6,1.2,0.2
Josh McRoberts,433,5.4,3.9,2.1
Jack McVeigh,6,1.3,0.7,0.2
Eric McWilliams,44,2.0,1.4,0.1
George Mearns,81,5.5,-,0.6
Stanislav Medvedenko,263,5.3,2.8,0.5
Darnell Mee,40,1.9,0.9,0.5
Jodie Meeks,539,9.3,2.1,1.1
Cliff Meely,318,8.4,5.4,1.3
Scott Meents,39,1.8,1.0,0.4
Dick Mehen,193,10.7,3.9,2.5
Monk Meineke,343,6.8,4.7,1.3
Carl Meinhold,98,5.3,-,0.6
Salah Mejri,204,3.4,4.0,0.5
Gal Mekel,35,2.3,0.8,2.2
Bill Melchionni,646,10.6,2.0,5.0
Gary Melchionni,137,7.8,2.4,2.2
Nicolò Melli,105,5.0,2.9,1.2
Fab Melo,6,1.2,0.5,0.0
De'Anthony Melton,356,9.1,3.7,2.8
Ed Melvin,57,4.9,-,0.6
Dean Meminger,416,6.1,2.6,2.5
Chuck Mencel,141,7.0,2.5,2.4
John Mengelt,636,9.8,1.9,2.1
Ken Menke,6,2.5,-,1.2
Nathan Mensah,25,1.3,2.6,0.4
