Player,G,PTS,TRB,AST
Tayshaun Prince,1017,11.1,4.3,2.4
John Pritchard,7,3.1,-,1.1
Kevin Pritchard,94,3.6,1.0,1.6
Payton Pritchard,286,8.1,2.4,2.3
Laron Profit,135,3.3,1.5,1.2
Olivier-Maxence Prosper,50,2.7,1.9,0.5
Gabe Pruitt,62,2.0,0.8,0.8
Joel Przybilla,592,3.9,6.2,0.4
Les Pugh,116,6.1,-,0.6
Roy Pugh,23,1.4,-,0.4
Anthony Pullard,8,2.1,1.0,0.3
Jacob Pullen,3,0.7,0.0,0.0
Rodney Purvis,16,6.0,1.7,1.1
Don Putman,216,4.8,-,1.3
