Player,G,PTS,TRB,AST
Carroll Hooser,56,5.6,3.9,0.5
Tom Hoover,223,5.9,6.2,1.1
Bob Hopkins,273,8.2,5.6,0.7
Dave Hoppen,169,5.0,3.8,0.6
Dennis Hopson,334,10.9,2.8,1.6
Scotty Hopson,4,1.5,0.3,0.8
Johnny Horan,19,1.8,0.5,0.1
Cedrick Hordges,145,7.6,5.9,1.2
Al Horford,1093,13.1,7.9,3.2
Tito Horford,63,1.5,1.3,0.1
Ron Horn,32,2.5,2.4,0.3
Jeff Hornacek,1077,14.5,3.4,4.9
Dennis Horner,8,0.6,0.6,0.0
Robert Horry,1107,7.0,4.8,2.1
Ed Horton,45,4.5,2.4,0.4
Talen Horton-Tucker,262,9.7,2.8,3.0
Bill Hosket,143,4.0,2.5,0.7
Bob Houbregs,281,9.3,5.5,1.8
Danuel House Jr.,294,7.3,3.0,1.1
Eddie House,717,7.5,1.7,1.6
Caleb Houstan,123,3.7,1.5,0.5
Allan Houston,839,17.3,2.9,2.4
Byron Houston,214,3.9,3.0,0.5
Tom Hovasse,2,0.0,0.0,0.0
Brian Howard,95,6.0,2.8,0.9
Dwight Howard,1242,15.7,11.8,1.3
Greg Howard,92,3.4,2.5,0.6
Jett Howard,38,2.9,0.8,0.4
Josh Howard,507,14.3,5.7,1.6
Juwan Howard,1208,13.4,6.1,2.2
Markus Howard,68,3.4,0.5,0.4
Mo Howard,32,4.8,1.2,1.3
Otis Howard,14,4.2,2.9,0.4
Stephen Howard,120,2.8,1.4,0.2
William Howard,2,0.0,1.0,0.5
Bailey Howell,950,18.7,9.9,2.0
Bob Hubbard,62,3.6,-,0.5
Phil Hubbard,665,10.9,5.3,1.3
Trevor Hudgins,5,1.8,0.0,0.6
Lester Hudson,57,4.7,1.4,1.2
Lou Hudson,890,20.2,4.4,2.7
Troy Hudson,517,9.0,1.7,3.4
Marcelo Huertas,76,3.9,1.5,3.1
Kevin Huerter,431,11.8,3.5,3.0
Josh Huestis,76,2.5,2.4,0.3
Jay Huff,51,5.2,1.7,0.6
Nate Huffman,7,3.3,3.3,0.7
Alfredrick Hughes,68,5.2,1.7,0.9
Eddie Hughes,97,3.1,1.0,1.6
Elijah Hughes,54,2.9,1.2,0.5
Kim Hughes,425,3.8,5.6,0.9
Larry Hughes,727,14.1,4.2,3.1
Rick Hughes,21,3.9,2.3,0.4
Ariel Hukporti,7,1.3,2.0,0.4
Robbie Hummel,98,3.9,2.7,0.5
John Hummer,327,6.9,5.3,1.7
Ryan Humphrey,85,2.3,2.2,0.2
Isaac Humphries,5,3.0,2.2,0.0
Jay Humphries,788,11.1,2.5,5.5
Kris Humphries,800,6.7,5.4,0.7
Hot Rod Hundley,431,8.4,3.3,3.4
Feron Hunt,2,0.0,0.5,0.5
Brandon Hunter,67,3.3,2.8,0.3
Cedric Hunter,1,0.0,0.0,0.0
Chris Hunter,60,4.5,2.8,0.6
De'Andre Hunter,272,14.4,4.1,1.5
Les Hunter,468,12.3,6.9,1.6
Lindsey Hunter,937,8.5,2.2,2.7
Othello Hunter,23,1.4,1.6,0.0
R.J. Hunter,45,3.0,1.0,0.4
Steven Hunter,400,4.5,3.2,0.2
Vince Hunter,4,1.5,0.8,0.0
Bobby Hurley,269,3.8,1.1,3.3
Roy Hurley,46,5.2,-,0.7
Matthew Hurt,8,4.0,2.0,0.5
Geoff Huston,496,8.8,1.4,5.1
Paul Huston,46,3.6,-,0.6
Mel Hutchins,437,11.1,9.6,3.0
Chandler Hutchison,103,5.4,3.7,0.8
Joe Hutton,120,2.5,1.6,1.0
Greg Hyder,77,5.4,4.3,0.6
Bones Hyland,169,9.7,2.3,2.7
